iata,name,latitude,longitude
,Moree Hospital Helipad,-29.47089,149.84054
,Swan Reach Airport,-34.556053,139.592156
WTB,Toowoomba Wellcamp Airport,-27.558332,151.793335
WHL,Welshpool Airport,-38.682382,146.445331
BLT,Blackwater Airport,-23.60309982,148.8070068
ULP,Quilpie Airport,-26.61219978,144.253006
LER,Leinster Airport,-27.84329987,120.7030029
MMG,Mount Magnet Airport,-28.11610031,117.8420029
WUN,Wiluna Airport,-26.62919998,120.2210007
KWM,Kowanyama Airport,-15.48560047,141.7510071
MOV,Moranbah Airport,-22.05780029,148.0769959
HIS,Hayman Island Resort Seaplane Base,-20.05999947,148.8809967
KFG,Kalkgurung Airport,-17.43190002,130.8079987
LEL,Lake Evella Airport,-12.49890041,135.8059998
RAM,Ramingining Airport,-12.35639954,134.897995
VCD,Victoria River Downs Airport,-16.4021244,131.0049744
SGO,St George Airport,-28.04969978,148.5950012
BDD,Badu Island Airport,-10.14999962,142.1734
CNC,Coconut Island Airport,-10.05000019,143.0700073
GIC,Boigu Airport,-9.232780457,142.2180023
GYL,Argyle Airport,-16.6369,128.451004
LVO,Laverton Airport,-28.61359978,122.4240036
NLF,Darnley Island Airport,-9.583330154,143.7669983
HOK,Hooker Creek Airport,-18.33670044,130.6380005
UBB,Mabuiag Island Airport,-9.949999809,142.1829987
KUG,Kubin Airport,-10.22500038,142.2180023
MYI,Murray Island Airport,-9.916669846,144.0549927
EDR,Pormpuraaw Airport,-14.896451,141.60908
SBR,Saibai Island Airport,-9.378330231,142.625
SYU,Warraber Island Airport,-10.20829964,142.8249969
XMY,Yam Island Airport,-9.901109695,142.776001
OKR,Yorke Island Airport,-9.752801,143.405673
BWQ,Brewarrina Airport,-29.97389984,146.8170013
COJ,Coonabarabran Airport,-31.33250046,149.2669983
CWW,Corowa Airport,-35.99470139,146.3569946
